iteration,learning_rate,train_loss,train_error,validation_error,elapsed_seconds
49000,0.0010000000000000002,0.178383,0.060438,0.1146,7365.76
49500,0.0010000000000000002,0.17466,0.059641,0.1194,7454.8
50000,0.0010000000000000002,0.170926,0.057656,0.1192,7553.63
50500,0.0010000000000000002,0.167402,0.056922,0.1182,7653.83
51000,0.0010000000000000002,0.167843,0.057859,0.1198,7758.0
51500,0.0010000000000000002,0.168847,0.058078,0.1194,7859.21
52000,0.0010000000000000002,0.166762,0.056531,0.119,7959.15
52500,0.0010000000000000002,0.16745,0.056828,0.1198,8059.03
53000,0.0010000000000000002,0.164757,0.056453,0.1216,8159.51
53500,0.0010000000000000002,0.16269,0.055234,0.12,8257.5
54000,0.0010000000000000002,0.159807,0.054359,0.1196,8354.18
54500,0.0010000000000000002,0.163639,0.055328,0.1202,8457.55
55000,0.0010000000000000002,0.162591,0.055875,0.1216,8556.48
55500,0.0010000000000000002,0.159558,0.054344,0.1204,8661.29
56000,0.0010000000000000002,0.157283,0.053281,0.1224,8765.87
56500,0.0010000000000000002,0.158808,0.054828,0.1216,8874.83
57000,0.0010000000000000002,0.156835,0.052281,0.12,8990.15
57500,0.0010000000000000002,0.158448,0.053984,0.1188,9074.43
58000,0.0010000000000000002,0.155484,0.052766,0.123,9167.19
58500,0.0010000000000000002,0.158381,0.053781,0.1222,9258.67
59000,0.0010000000000000002,0.157563,0.053359,0.1202,9355.42
59500,0.0010000000000000002,0.155638,0.052594,0.1216,9422.85
60000,0.0010000000000000002,0.154923,0.052484,0.121,9488.06
60500,0.0010000000000000002,0.153612,0.052969,0.1218,9549.87
61000,0.0010000000000000002,0.154455,0.052453,0.1218,9613.38
61500,0.0010000000000000002,0.150752,0.052094,0.1208,9678.16
62000,0.0010000000000000002,0.153619,0.051469,0.1208,9741.9
62500,0.0010000000000000002,0.152294,0.051453,0.122,9812.05
63000,0.0010000000000000002,0.154403,0.053031,0.121,9880.47
63500,0.0010000000000000002,0.150616,0.050078,0.122,9951.41
64000,0.0010000000000000002,0.149829,0.051562,0.1196,10042.68
