iteration,learning_rate,train_loss,train_error,validation_error,elapsed_seconds
500,0.1,1.576499,0.589031,0.4468,31.95
1000,0.1,1.024804,0.367625,0.3794,61.72
1500,0.1,0.801938,0.280828,0.291,91.34
2000,0.1,0.668672,0.233313,0.3178,120.83
2500,0.1,0.599325,0.207953,0.2282,150.45
3000,0.1,0.546662,0.189609,0.2306,180.27
3500,0.1,0.507242,0.175531,0.1942,209.74
4000,0.1,0.473376,0.163766,0.251,239.56
4500,0.1,0.458794,0.158719,0.2654,269.07
5000,0.1,0.429159,0.147344,0.1984,298.48
5500,0.1,0.41998,0.144234,0.1938,328.45
6000,0.1,0.397529,0.138609,0.19,357.79
6500,0.1,0.384362,0.133563,0.1638,387.22
7000,0.1,0.3804,0.133969,0.18,416.78
7500,0.1,0.361469,0.126437,0.1798,446.63
8000,0.1,0.359174,0.124703,0.1822,476.17
8500,0.1,0.342107,0.118891,0.184,506.47
9000,0.1,0.337414,0.117531,0.1794,535.9
9500,0.1,0.328277,0.114234,0.1596,565.33
10000,0.1,0.323544,0.111563,0.1718,594.93
10500,0.1,0.317266,0.10975,0.16,624.44
11000,0.1,0.310079,0.107656,0.2018,653.84
11500,0.1,0.301928,0.105641,0.1698,683.12
12000,0.1,0.299286,0.103969,0.1548,712.9
12500,0.1,0.290828,0.100578,0.1622,742.62
13000,0.1,0.290674,0.101219,0.1594,772.17
13500,0.1,0.286032,0.099453,0.1924,801.79
14000,0.1,0.287215,0.099844,0.1482,831.24
14500,0.1,0.277479,0.096984,0.1496,861.96
15000,0.1,0.280672,0.09875,0.1418,891.31
15500,0.1,0.267506,0.093375,0.1474,920.67
16000,0.1,0.266144,0.092562,0.1586,949.77
16500,0.1,0.264091,0.091422,0.1356,979.26
17000,0.1,0.260322,0.091406,0.1434,1009.06
17500,0.1,0.258044,0.090516,0.1462,1038.52
18000,0.1,0.255685,0.089953,0.1458,1068.61
18500,0.1,0.257516,0.091187,0.181,1098.28
19000,0.1,0.256687,0.089469,0.148,1127.78
19500,0.1,0.251782,0.088469,0.1476,1158.88
20000,0.1,0.253647,0.088828,0.1374,1189.11
20500,0.1,0.246504,0.087469,0.1502,1218.9
21000,0.1,0.246179,0.086469,0.1432,1248.51
21500,0.1,0.243415,0.085641,0.1972,1278.23
22000,0.1,0.246481,0.085766,0.1344,1307.97
22500,0.1,0.239973,0.083672,0.1514,1337.6
23000,0.1,0.233557,0.082141,0.1528,1367.21
23500,0.1,0.239874,0.084922,0.134,1396.86
24000,0.1,0.233644,0.081359,0.135,1426.84
24500,0.1,0.234168,0.082156,0.1458,1457.03
25000,0.1,0.23041,0.079766,0.1738,1486.82
25500,0.1,0.23217,0.081469,0.153,1518.05
26000,0.1,0.231896,0.079875,0.1392,1548.11
26500,0.1,0.230309,0.08075,0.1384,1578.47
27000,0.1,0.230076,0.08075,0.138,1608.75
27500,0.1,0.230239,0.080547,0.1394,1638.77
28000,0.1,0.223194,0.078812,0.1278,1668.46
28500,0.1,0.226521,0.079125,0.12,1698.38
29000,0.1,0.219434,0.077063,0.1296,1729.21
29500,0.1,0.228332,0.080734,0.137,1759.98
30000,0.1,0.220561,0.07775,0.1498,1790.5
30500,0.1,0.222635,0.078438,0.1348,1820.99
31000,0.1,0.224955,0.079812,0.1534,1851.17
31500,0.1,0.219864,0.076734,0.1402,1881.36
32000,0.010000000000000002,0.214963,0.07475,0.15,1911.58
32500,0.010000000000000002,0.125479,0.042453,0.0882,1941.74
33000,0.010000000000000002,0.098442,0.033078,0.0864,1971.75
33500,0.010000000000000002,0.089491,0.029609,0.082,2002.33
34000,0.010000000000000002,0.082272,0.027625,0.0824,2032.45
34500,0.010000000000000002,0.074709,0.024406,0.0836,2062.93
35000,0.010000000000000002,0.071619,0.024109,0.0826,2092.94
35500,0.010000000000000002,0.067462,0.022922,0.0822,2123.09
36000,0.010000000000000002,0.064611,0.021266,0.0824,2153.28
36500,0.010000000000000002,0.06018,0.019563,0.0814,2183.33
37000,0.010000000000000002,0.056979,0.01875,0.083,2213.36
37500,0.010000000000000002,0.056555,0.0185,0.0836,2243.92
38000,0.010000000000000002,0.054851,0.017641,0.085,2274.13
38500,0.010000000000000002,0.049454,0.016234,0.0832,2304.39
39000,0.010000000000000002,0.052055,0.017281,0.0816,2334.58
39500,0.010000000000000002,0.047407,0.015609,0.0826,2364.77
40000,0.010000000000000002,0.046881,0.015281,0.0836,2395.17
40500,0.010000000000000002,0.04476,0.014781,0.0836,2426.18
41000,0.010000000000000002,0.045163,0.014625,0.0846,2456.34
41500,0.010000000000000002,0.045858,0.015547,0.0822,2486.81
42000,0.010000000000000002,0.040223,0.013297,0.082,2516.93
42500,0.010000000000000002,0.040158,0.013188,0.0846,2550.15
43000,0.010000000000000002,0.037,0.011813,0.082,2581.42
43500,0.010000000000000002,0.037971,0.012156,0.0844,2612.01
44000,0.010000000000000002,0.035741,0.011203,0.0812,2643.67
44500,0.010000000000000002,0.036696,0.011766,0.0832,2675.75
45000,0.010000000000000002,0.034536,0.010969,0.082,2706.03
45500,0.010000000000000002,0.033667,0.010516,0.081,2736.53
46000,0.010000000000000002,0.033818,0.010953,0.0816,2768.0
46500,0.010000000000000002,0.032312,0.010203,0.083,2798.44
47000,0.010000000000000002,0.032633,0.010766,0.0844,2828.69
47500,0.010000000000000002,0.033113,0.010875,0.0832,2859.5
48000,0.0010000000000000002,0.030733,0.009563,0.0834,2890.7
48500,0.0010000000000000002,0.02648,0.007766,0.0808,2921.45
49000,0.0010000000000000002,0.025418,0.007687,0.081,2954.9
49500,0.0010000000000000002,0.022391,0.006156,0.0804,2985.58
50000,0.0010000000000000002,0.022178,0.005938,0.081,3018.08
50500,0.0010000000000000002,0.022106,0.006234,0.0804,3050.33
51000,0.0010000000000000002,0.022218,0.006188,0.0808,3083.32
51500,0.0010000000000000002,0.021217,0.005563,0.0802,3115.63
52000,0.0010000000000000002,0.023083,0.006391,0.0796,3147.1
52500,0.0010000000000000002,0.021786,0.006359,0.0804,3178.67
53000,0.0010000000000000002,0.020794,0.00575,0.0796,3209.98
53500,0.0010000000000000002,0.021127,0.00575,0.0798,3241.62
54000,0.0010000000000000002,0.020582,0.005844,0.08,3273.21
54500,0.0010000000000000002,0.020619,0.005797,0.0788,3304.14
55000,0.0010000000000000002,0.020085,0.005625,0.079,3334.93
55500,0.0010000000000000002,0.020072,0.005563,0.0774,3366.13
56000,0.0010000000000000002,0.019953,0.005219,0.0796,3397.4
56500,0.0010000000000000002,0.019298,0.005062,0.0798,3428.74
57000,0.0010000000000000002,0.019797,0.005531,0.0798,3459.98
57500,0.0010000000000000002,0.019483,0.005094,0.0782,3490.8
58000,0.0010000000000000002,0.019544,0.004891,0.079,3523.49
58500,0.0010000000000000002,0.02015,0.005344,0.0804,3556.45
59000,0.0010000000000000002,0.019423,0.005547,0.0794,3587.83
59500,0.0010000000000000002,0.01866,0.004766,0.08,3621.26
60000,0.0010000000000000002,0.019034,0.005172,0.0806,3654.45
60500,0.0010000000000000002,0.019349,0.005156,0.0816,3687.34
61000,0.0010000000000000002,0.018993,0.005031,0.0806,3721.04
61500,0.0010000000000000002,0.018529,0.005125,0.08,3754.55
62000,0.0010000000000000002,0.019229,0.005219,0.0812,3788.25
62500,0.0010000000000000002,0.018953,0.005125,0.0794,3823.5
63000,0.0010000000000000002,0.018431,0.004734,0.08,3857.57
63500,0.0010000000000000002,0.018589,0.004953,0.0782,3896.02
64000,0.0010000000000000002,0.017409,0.004172,0.0792,3931.78
