iteration,learning_rate,train_loss,train_error,validation_error,elapsed_seconds
500,0.1,1.945726,0.746156,0.71,48.14
1000,0.1,1.719943,0.648516,0.6638,98.59
1500,0.1,1.592793,0.599531,0.5932,151.7
2000,0.1,1.451288,0.537016,0.5362,203.87
2500,0.1,1.331618,0.482812,0.528,255.9
3000,0.1,1.22659,0.440984,0.507,308.17
3500,0.1,1.150363,0.412594,0.4112,359.67
4000,0.1,1.083942,0.386359,0.4914,411.33
4500,0.1,1.025629,0.364109,0.477,463.26
5000,0.1,0.987733,0.348844,0.4116,514.68
5500,0.1,0.949617,0.334953,0.4002,566.36
6000,0.1,0.919983,0.323703,0.3384,618.09
6500,0.1,0.888641,0.313016,0.3324,670.65
7000,0.1,0.871764,0.303172,0.355,722.66
7500,0.1,0.840385,0.294156,0.3724,775.49
8000,0.1,0.826843,0.289156,0.2988,829.13
8500,0.1,0.796877,0.276266,0.3342,881.57
9000,0.1,0.781882,0.270641,0.3872,935.31
9500,0.1,0.764824,0.263891,0.3042,988.02
10000,0.1,0.753479,0.259781,0.2864,1040.73
10500,0.1,0.734958,0.253828,0.362,1095.68
11000,0.1,0.719721,0.247609,0.3156,1149.76
11500,0.1,0.706815,0.244359,0.2866,1202.94
12000,0.1,0.688028,0.236719,0.2742,1255.52
12500,0.1,0.67823,0.232453,0.3138,1310.02
13000,0.1,0.673926,0.229375,0.2682,1363.99
13500,0.1,0.655096,0.223875,0.3784,1417.35
14000,0.1,0.652054,0.224641,0.259,1471.34
14500,0.1,0.638694,0.218016,0.3578,1524.94
15000,0.1,0.638828,0.217344,0.3578,1578.3
15500,0.1,0.62507,0.213187,0.2522,1631.25
16000,0.1,0.613806,0.209672,0.2488,1685.25
16500,0.1,0.619201,0.212359,0.2294,1740.11
17000,0.1,0.60597,0.207859,0.3952,1793.35
17500,0.1,0.597463,0.204391,0.3052,1846.73
18000,0.1,0.593387,0.203641,0.4194,1900.51
18500,0.1,0.587366,0.199594,0.224,1955.16
19000,0.1,0.58241,0.198734,0.2298,2008.94
19500,0.1,0.567503,0.192969,0.2512,2062.38
20000,0.1,0.578049,0.196703,0.3078,2118.82
20500,0.1,0.566585,0.193984,0.219,2173.84
21000,0.1,0.561561,0.192125,0.2482,2227.91
21500,0.1,0.557206,0.189078,0.2764,2281.42
22000,0.1,0.551902,0.187781,0.2568,2335.72
22500,0.1,0.551532,0.187859,0.3562,2389.51
23000,0.1,0.539519,0.183234,0.2444,2443.76
23500,0.1,0.541067,0.184297,0.2374,2498.67
24000,0.1,0.533931,0.182172,0.2322,2552.76
24500,0.1,0.53784,0.181641,0.216,2608.29
25000,0.1,0.533564,0.183219,0.3128,2663.6
25500,0.1,0.529962,0.179828,0.4034,2717.82
26000,0.1,0.525531,0.180141,0.213,2771.86
26500,0.1,0.52164,0.177547,0.3592,2827.65
27000,0.1,0.513615,0.172937,0.2896,2882.06
27500,0.1,0.512982,0.173516,0.2732,2935.94
28000,0.1,0.51028,0.173828,0.2304,2990.29
28500,0.1,0.506926,0.172219,0.2624,3043.42
29000,0.1,0.505072,0.171672,0.217,3097.63
29500,0.1,0.507236,0.172953,0.208,3151.45
30000,0.1,0.499262,0.170562,0.2388,3206.42
30500,0.1,0.491812,0.166766,0.2726,3260.41
31000,0.1,0.495128,0.168594,0.2288,3314.76
31500,0.1,0.498085,0.170266,0.2682,3369.47
32000,0.010000000000000002,0.484911,0.165375,0.2358,3423.79
32500,0.010000000000000002,0.34311,0.118984,0.1306,3478.62
33000,0.010000000000000002,0.293448,0.101047,0.1228,3532.62
33500,0.010000000000000002,0.278983,0.095969,0.1252,3586.63
34000,0.010000000000000002,0.269162,0.092266,0.1226,3640.78
34500,0.010000000000000002,0.260271,0.089703,0.122,3695.27
35000,0.010000000000000002,0.255904,0.088859,0.1248,3749.23
35500,0.010000000000000002,0.246934,0.085438,0.124,3803.66
36000,0.010000000000000002,0.245482,0.086031,0.122,3857.28
36500,0.010000000000000002,0.237599,0.083,0.1194,3912.01
