iteration,learning_rate,train_loss,train_error,validation_error,elapsed_seconds
500,0.1,2.103218,0.777781,0.6374,59.94
1000,0.1,1.414967,0.519031,0.5122,117.72
1500,0.1,1.019851,0.361891,0.326,176.64
2000,0.1,0.803013,0.28275,0.2994,239.32
2500,0.1,0.681773,0.237781,0.2178,306.82
3000,0.1,0.594273,0.206281,0.2274,373.03
3500,0.1,0.536012,0.185953,0.247,436.0
4000,0.1,0.489306,0.17025,0.2042,499.89
4500,0.1,0.459818,0.159563,0.2068,562.81
5000,0.1,0.424965,0.147437,0.166,625.77
5500,0.1,0.398772,0.137281,0.195,688.56
6000,0.1,0.379637,0.131828,0.183,751.95
6500,0.1,0.357112,0.123953,0.1662,814.52
7000,0.1,0.350699,0.121281,0.1636,877.45
7500,0.1,0.331346,0.115875,0.1566,939.94
8000,0.1,0.324188,0.112688,0.1578,1002.53
8500,0.1,0.300159,0.104094,0.1552,1065.22
9000,0.1,0.302427,0.105859,0.1704,1128.25
9500,0.1,0.290837,0.100297,0.137,1191.32
10000,0.1,0.278491,0.096828,0.1402,1254.02
10500,0.1,0.271687,0.094562,0.1492,1317.06
11000,0.1,0.268243,0.093422,0.1396,1379.05
11500,0.1,0.260463,0.090531,0.1544,1442.23
12000,0.1,0.250314,0.086969,0.1448,1505.53
12500,0.1,0.245451,0.085453,0.1566,1568.87
13000,0.1,0.243388,0.083031,0.1282,1631.64
13500,0.1,0.236189,0.082828,0.1246,1694.72
14000,0.1,0.239526,0.083391,0.1206,1758.03
14500,0.1,0.225165,0.077141,0.1416,1821.31
15000,0.1,0.226894,0.07925,0.1218,1883.53
15500,0.1,0.216611,0.075391,0.1272,1946.41
16000,0.1,0.219859,0.077094,0.1488,2009.65
16500,0.1,0.217608,0.075891,0.1184,2072.73
17000,0.1,0.211567,0.074156,0.1216,2135.78
17500,0.1,0.204796,0.071422,0.1376,2199.19
18000,0.1,0.206137,0.072922,0.1258,2261.44
18500,0.1,0.202445,0.070875,0.133,2324.83
19000,0.1,0.198726,0.070641,0.1394,2387.59
19500,0.1,0.197921,0.069375,0.1156,2450.5
20000,0.1,0.201935,0.070516,0.1314,2513.28
20500,0.1,0.193622,0.067609,0.1348,2576.58
21000,0.1,0.188375,0.065391,0.1428,2639.82
21500,0.1,0.188704,0.066609,0.117,2703.81
22000,0.1,0.189301,0.067578,0.1468,2766.89
22500,0.1,0.189584,0.066141,0.1192,2830.61
23000,0.1,0.180909,0.063266,0.1184,2894.36
23500,0.1,0.186988,0.065922,0.1332,2959.59
24000,0.1,0.17807,0.06275,0.1222,3023.98
24500,0.1,0.179001,0.062281,0.1636,3088.26
25000,0.1,0.17671,0.062016,0.1238,3152.58
25500,0.1,0.178387,0.061906,0.117,3216.67
26000,0.1,0.174566,0.061828,0.1102,3280.58
26500,0.1,0.171399,0.059734,0.1246,3343.51
27000,0.1,0.169976,0.059828,0.1114,3405.98
27500,0.1,0.170703,0.059484,0.1194,3468.61
28000,0.1,0.170807,0.059859,0.11,3531.33
28500,0.1,0.168052,0.059281,0.1428,3595.11
29000,0.1,0.166662,0.058016,0.1296,3658.14
29500,0.1,0.169662,0.060297,0.13,3721.06
30000,0.1,0.16477,0.058016,0.15,3783.63
30500,0.1,0.163664,0.058266,0.1276,3846.58
31000,0.1,0.160739,0.056641,0.123,3909.01
31500,0.1,0.16249,0.056672,0.1322,3971.99
32000,0.010000000000000002,0.158777,0.055875,0.1534,4033.82
32500,0.010000000000000002,0.072929,0.023734,0.0742,4095.71
33000,0.010000000000000002,0.047418,0.014328,0.0768,4158.34
33500,0.010000000000000002,0.03753,0.011609,0.0744,4220.7
34000,0.010000000000000002,0.031162,0.009781,0.0742,4283.18
34500,0.010000000000000002,0.027671,0.008156,0.0742,4345.99
35000,0.010000000000000002,0.024921,0.007297,0.0712,4408.45
35500,0.010000000000000002,0.023013,0.006703,0.0714,4470.93
36000,0.010000000000000002,0.021502,0.006203,0.0728,4533.91
36500,0.010000000000000002,0.018367,0.005188,0.0716,4597.33
37000,0.010000000000000002,0.016309,0.004422,0.0722,4660.02
37500,0.010000000000000002,0.015899,0.004266,0.0708,4723.09
38000,0.010000000000000002,0.014683,0.004078,0.068,4785.6
38500,0.010000000000000002,0.01322,0.004031,0.0702,4848.37
39000,0.010000000000000002,0.013447,0.003594,0.071,4910.98
39500,0.010000000000000002,0.012654,0.003547,0.0704,4973.49
40000,0.010000000000000002,0.011403,0.002891,0.0706,5035.87
40500,0.010000000000000002,0.010561,0.002687,0.072,5098.88
41000,0.010000000000000002,0.010345,0.002547,0.0686,5161.66
41500,0.010000000000000002,0.009816,0.00225,0.069,5224.13
42000,0.010000000000000002,0.009673,0.002516,0.0696,5288.37
42500,0.010000000000000002,0.008617,0.002281,0.0696,5351.52
43000,0.010000000000000002,0.007888,0.00175,0.0688,5413.92
43500,0.010000000000000002,0.00836,0.002078,0.072,5476.34
44000,0.010000000000000002,0.007925,0.001797,0.0712,5538.96
44500,0.010000000000000002,0.008082,0.002047,0.0694,5602.57
45000,0.010000000000000002,0.007283,0.00175,0.0714,5665.18
45500,0.010000000000000002,0.007465,0.001828,0.068,5727.37
46000,0.010000000000000002,0.006731,0.001672,0.0716,5789.01
46500,0.010000000000000002,0.006561,0.001672,0.0704,5851.44
47000,0.010000000000000002,0.006327,0.001609,0.0706,5914.93
47500,0.010000000000000002,0.007072,0.001703,0.0666,5977.8
48000,0.0010000000000000002,0.006511,0.001703,0.0698,6039.34
48500,0.0010000000000000002,0.005198,0.001125,0.067,6101.83
49000,0.0010000000000000002,0.005172,0.001156,0.0656,6163.9
49500,0.0010000000000000002,0.004909,0.001016,0.0656,6225.94
50000,0.0010000000000000002,0.004956,0.001047,0.0688,6288.3
50500,0.0010000000000000002,0.004601,0.000781,0.0668,6350.72
51000,0.0010000000000000002,0.004676,0.000938,0.0694,6412.51
51500,0.0010000000000000002,0.004784,0.001125,0.0674,6474.85
52000,0.0010000000000000002,0.004572,0.000844,0.0678,6537.32
52500,0.0010000000000000002,0.004385,0.000891,0.0666,6600.32
53000,0.0010000000000000002,0.004022,0.000734,0.0666,6662.47
53500,0.0010000000000000002,0.004536,0.000969,0.0664,6723.89
54000,0.0010000000000000002,0.004174,0.000844,0.0658,6786.56
54500,0.0010000000000000002,0.003925,0.000703,0.0648,6848.92
55000,0.0010000000000000002,0.004006,0.000672,0.065,6911.12
55500,0.0010000000000000002,0.003742,0.000594,0.0648,6973.08
56000,0.0010000000000000002,0.003565,0.000609,0.0662,7035.28
56500,0.0010000000000000002,0.003962,0.000687,0.0674,7097.78
57000,0.0010000000000000002,0.003938,0.000594,0.0666,7160.45
57500,0.0010000000000000002,0.003588,0.000437,0.0646,7222.14
58000,0.0010000000000000002,0.003779,0.000547,0.065,7284.13
58500,0.0010000000000000002,0.003623,0.0005,0.0648,7346.63
59000,0.0010000000000000002,0.003506,0.000656,0.0668,7408.96
59500,0.0010000000000000002,0.004051,0.000766,0.0658,7471.16
60000,0.0010000000000000002,0.003848,0.000625,0.0652,7533.37
60500,0.0010000000000000002,0.003571,0.000594,0.0666,7595.85
61000,0.0010000000000000002,0.003685,0.000578,0.0676,7658.24
61500,0.0010000000000000002,0.003456,0.000656,0.067,7720.63
62000,0.0010000000000000002,0.003713,0.000609,0.066,7782.95
62500,0.0010000000000000002,0.003578,0.000656,0.0648,7845.04
63000,0.0010000000000000002,0.003535,0.000594,0.0676,7907.09
63500,0.0010000000000000002,0.003261,0.000547,0.0656,7969.36
64000,0.0010000000000000002,0.00327,0.000484,0.0658,8031.9
