iteration,learning_rate,train_loss,train_error,validation_error,elapsed_seconds
500,0.1,1.860249,0.688516,0.5498,50.55
1000,0.1,1.332634,0.482969,0.4278,98.42
1500,0.1,1.019182,0.362016,0.361,149.24
2000,0.1,0.796139,0.277297,0.2772,203.44
2500,0.1,0.667251,0.232125,0.2522,258.6
3000,0.1,0.579047,0.199406,0.2164,311.86
3500,0.1,0.521173,0.180688,0.2168,364.64
4000,0.1,0.477008,0.164125,0.2298,417.18
4500,0.1,0.448697,0.155703,0.1886,469.89
5000,0.1,0.415441,0.145141,0.1724,521.88
5500,0.1,0.392579,0.135125,0.1926,573.41
6000,0.1,0.377784,0.131563,0.174,626.03
6500,0.1,0.352931,0.122359,0.2018,678.07
7000,0.1,0.349831,0.121969,0.1544,730.38
7500,0.1,0.329368,0.114734,0.1816,782.21
8000,0.1,0.322857,0.111703,0.177,834.46
8500,0.1,0.30542,0.10575,0.1674,887.02
9000,0.1,0.306099,0.107031,0.1586,938.67
9500,0.1,0.288521,0.100594,0.1682,991.36
10000,0.1,0.279083,0.097953,0.1282,1043.67
10500,0.1,0.274502,0.095734,0.1598,1096.38
11000,0.1,0.268399,0.093297,0.2146,1148.85
11500,0.1,0.265273,0.093063,0.145,1200.98
12000,0.1,0.256233,0.088453,0.1778,1253.38
12500,0.1,0.252531,0.088094,0.1416,1305.89
13000,0.1,0.248434,0.085766,0.1778,1358.02
13500,0.1,0.239411,0.083688,0.1624,1411.55
14000,0.1,0.242142,0.085328,0.1756,1465.67
14500,0.1,0.232295,0.083047,0.1618,1519.56
15000,0.1,0.227904,0.079531,0.1274,1572.36
15500,0.1,0.228863,0.081219,0.1262,1625.26
16000,0.1,0.222082,0.077187,0.1264,1678.22
16500,0.1,0.22258,0.078047,0.1268,1731.06
17000,0.1,0.216866,0.075953,0.1424,1783.34
17500,0.1,0.20966,0.073672,0.1348,1835.82
18000,0.1,0.214165,0.074891,0.1358,1889.66
18500,0.1,0.207958,0.073516,0.1534,1942.69
19000,0.1,0.209463,0.072969,0.1316,1995.58
19500,0.1,0.207093,0.073875,0.15,2047.91
20000,0.1,0.210169,0.074234,0.117,2100.94
20500,0.1,0.198394,0.071281,0.1346,2154.29
21000,0.1,0.198178,0.068875,0.1282,2207.05
