iteration,learning_rate,train_loss,train_error,validation_error,elapsed_seconds
500,0.1,1.738242,0.662516,0.6196,30.95
1000,0.1,1.307075,0.473609,0.4914,59.35
1500,0.1,1.029605,0.366422,0.3596,89.03
2000,0.1,0.856163,0.298687,0.2872,120.57
2500,0.1,0.758661,0.264312,0.249,154.53
3000,0.1,0.682368,0.236453,0.2536,189.93
3500,0.1,0.635342,0.219875,0.2486,226.74
4000,0.1,0.591777,0.203375,0.2606,262.99
4500,0.1,0.569682,0.196703,0.2362,299.98
5000,0.1,0.536075,0.184422,0.2262,336.84
5500,0.1,0.519712,0.177906,0.2082,372.76
6000,0.1,0.491987,0.168969,0.2132,410.17
6500,0.1,0.475008,0.164344,0.2042,446.55
7000,0.1,0.469869,0.162234,0.232,484.82
7500,0.1,0.449604,0.156078,0.199,521.32
8000,0.1,0.444483,0.153625,0.2456,560.14
8500,0.1,0.421902,0.145469,0.2016,597.33
9000,0.1,0.423263,0.146062,0.2002,635.24
9500,0.1,0.408905,0.141469,0.1854,679.08
10000,0.1,0.404492,0.137906,0.2132,720.25
10500,0.1,0.394966,0.13675,0.1822,759.38
11000,0.1,0.388569,0.134234,0.2288,796.14
11500,0.1,0.381452,0.132172,0.182,833.55
12000,0.1,0.374609,0.130484,0.2028,871.95
12500,0.1,0.371185,0.127984,0.1778,917.66
13000,0.1,0.368901,0.127453,0.197,976.22
13500,0.1,0.360076,0.124141,0.1618,1018.08
14000,0.1,0.35323,0.123672,0.1724,1064.36
14500,0.1,0.353182,0.122234,0.1978,1106.04
15000,0.1,0.351908,0.122594,0.1572,1144.29
15500,0.1,0.344247,0.119563,0.1478,1182.25
16000,0.1,0.3403,0.118625,0.1828,1221.02
16500,0.1,0.337045,0.118328,0.1868,1252.52
17000,0.1,0.329813,0.116,0.1542,1282.53
17500,0.1,0.330067,0.115625,0.1832,1312.95
18000,0.1,0.327216,0.112547,0.1678,1343.83
18500,0.1,0.325165,0.114375,0.147,1374.03
19000,0.1,0.320304,0.111563,0.17,1403.42
19500,0.1,0.320212,0.111234,0.143,1432.57
20000,0.1,0.32173,0.112313,0.174,1461.66
20500,0.1,0.31459,0.110563,0.16,1490.43
21000,0.1,0.312509,0.108656,0.1478,1520.05
21500,0.1,0.310652,0.107547,0.1666,1550.45
22000,0.1,0.306066,0.107969,0.1558,1581.43
22500,0.1,0.306955,0.106922,0.2102,1617.09
23000,0.1,0.30075,0.103656,0.1594,1649.24
23500,0.1,0.305925,0.106828,0.1498,1688.28
24000,0.1,0.299671,0.103953,0.202,1723.77
24500,0.1,0.301516,0.104563,0.1788,1760.21
25000,0.1,0.295213,0.103797,0.1992,1806.46
25500,0.1,0.297032,0.103141,0.172,1840.93
26000,0.1,0.29434,0.101219,0.1424,1873.93
26500,0.1,0.29409,0.102281,0.1448,1906.97
27000,0.1,0.291107,0.101969,0.155,1941.34
27500,0.1,0.290781,0.101453,0.166,1971.73
28000,0.1,0.290647,0.101859,0.1574,2002.34
28500,0.1,0.286337,0.100297,0.1466,2031.35
29000,0.1,0.283624,0.099391,0.1454,2059.92
29500,0.1,0.288642,0.101172,0.198,2087.88
30000,0.1,0.28174,0.097781,0.1462,2116.11
30500,0.1,0.277175,0.095,0.1322,2143.99
31000,0.1,0.284316,0.0985,0.1526,2171.54
31500,0.1,0.280033,0.097094,0.2104,2199.05
32000,0.010000000000000002,0.27651,0.095375,0.1426,2226.9
32500,0.010000000000000002,0.172926,0.059828,0.0928,2254.47
33000,0.010000000000000002,0.136668,0.046656,0.0922,2282.24
33500,0.010000000000000002,0.123735,0.04225,0.0892,2311.26
34000,0.010000000000000002,0.115895,0.039937,0.0912,2339.23
34500,0.010000000000000002,0.106612,0.036734,0.092,2367.48
35000,0.010000000000000002,0.104884,0.035687,0.0886,2395.18
35500,0.010000000000000002,0.098422,0.033594,0.0872,2423.09
36000,0.010000000000000002,0.096612,0.032969,0.0878,2451.08
36500,0.010000000000000002,0.09245,0.031578,0.0858,2479.22
37000,0.010000000000000002,0.089296,0.030781,0.0922,2509.7
37500,0.010000000000000002,0.086381,0.030312,0.089,2539.58
38000,0.010000000000000002,0.082697,0.027906,0.0888,2569.62
38500,0.010000000000000002,0.077997,0.027188,0.087,2601.77
39000,0.010000000000000002,0.080335,0.028188,0.0906,2633.09
39500,0.010000000000000002,0.075912,0.026422,0.091,2664.07
40000,0.010000000000000002,0.073835,0.025469,0.0918,2694.43
40500,0.010000000000000002,0.07021,0.024156,0.089,2725.53
41000,0.010000000000000002,0.070297,0.024453,0.0932,2758.26
41500,0.010000000000000002,0.070727,0.024609,0.093,2790.83
42000,0.010000000000000002,0.064032,0.022062,0.0908,2822.97
42500,0.010000000000000002,0.064908,0.022109,0.092,2854.71
43000,0.010000000000000002,0.063465,0.021953,0.0916,2886.54
43500,0.010000000000000002,0.06496,0.022344,0.0942,2917.15
44000,0.010000000000000002,0.060221,0.02125,0.0944,2949.4
44500,0.010000000000000002,0.059859,0.020516,0.0936,2979.63
45000,0.010000000000000002,0.058685,0.020281,0.089,3009.21
45500,0.010000000000000002,0.057912,0.020047,0.0934,3038.75
46000,0.010000000000000002,0.056821,0.019016,0.0934,3068.17
46500,0.010000000000000002,0.054124,0.017781,0.092,3097.42
47000,0.010000000000000002,0.055153,0.019078,0.0926,3126.27
47500,0.010000000000000002,0.054118,0.018609,0.0902,3154.73
48000,0.0010000000000000002,0.054484,0.018578,0.0938,3183.52
48500,0.0010000000000000002,0.04552,0.015547,0.0918,3212.73
49000,0.0010000000000000002,0.039769,0.013266,0.0922,3244.04
49500,0.0010000000000000002,0.037705,0.012094,0.09,3272.95
50000,0.0010000000000000002,0.037597,0.012078,0.089,3301.47
50500,0.0010000000000000002,0.035517,0.011219,0.0894,3331.4
51000,0.0010000000000000002,0.034925,0.01075,0.093,3361.26
51500,0.0010000000000000002,0.036344,0.011375,0.0902,3390.7
52000,0.0010000000000000002,0.035505,0.011281,0.0898,3419.8
52500,0.0010000000000000002,0.034404,0.011094,0.0904,3449.86
53000,0.0010000000000000002,0.033368,0.010453,0.0912,3479.62
53500,0.0010000000000000002,0.034045,0.010469,0.09,3509.08
54000,0.0010000000000000002,0.03273,0.010062,0.0906,3539.78
54500,0.0010000000000000002,0.032121,0.009813,0.0904,3569.42
55000,0.0010000000000000002,0.032399,0.010156,0.0928,3600.29
55500,0.0010000000000000002,0.032271,0.009969,0.0904,3630.07
56000,0.0010000000000000002,0.031485,0.009875,0.0908,3662.53
56500,0.0010000000000000002,0.031249,0.00975,0.0926,3694.77
57000,0.0010000000000000002,0.031273,0.009922,0.09,3726.1
57500,0.0010000000000000002,0.031447,0.009828,0.089,3757.16
58000,0.0010000000000000002,0.030617,0.009625,0.0892,3788.3
58500,0.0010000000000000002,0.030909,0.009484,0.0922,3818.71
59000,0.0010000000000000002,0.031282,0.009672,0.09,3848.95
59500,0.0010000000000000002,0.03063,0.009531,0.09,3880.33
60000,0.0010000000000000002,0.031617,0.009609,0.09,3911.27
60500,0.0010000000000000002,0.031062,0.009516,0.0914,3941.46
61000,0.0010000000000000002,0.029725,0.009094,0.0888,3970.91
61500,0.0010000000000000002,0.029656,0.009125,0.0892,4002.83
62000,0.0010000000000000002,0.031524,0.009906,0.0902,4034.11
62500,0.0010000000000000002,0.028777,0.009,0.091,4066.43
63000,0.0010000000000000002,0.029716,0.008938,0.0914,4096.88
63500,0.0010000000000000002,0.027879,0.008453,0.0904,4128.16
64000,0.0010000000000000002,0.028502,0.008687,0.088,4160.49
