iteration,learning_rate,train_loss,train_error,validation_error,elapsed_seconds
500,0.1,1.863268,0.7095,0.6476,38.84
1000,0.1,1.542744,0.569953,0.5508,76.36
1500,0.1,1.297254,0.469578,0.4342,116.96
2000,0.1,1.125938,0.407016,0.3948,163.78
2500,0.1,1.024824,0.365922,0.371,218.76
3000,0.1,0.931801,0.329516,0.3328,290.45
3500,0.1,0.853456,0.297969,0.291,360.12
4000,0.1,0.790284,0.276125,0.332,425.91
4500,0.1,0.748068,0.259266,0.3796,480.07
5000,0.1,0.713222,0.246375,0.2484,531.17
5500,0.1,0.683456,0.234594,0.3078,581.67
6000,0.1,0.648387,0.223156,0.2872,632.5
6500,0.1,0.62335,0.213094,0.2618,682.04
7000,0.1,0.610838,0.210234,0.2968,733.15
7500,0.1,0.586459,0.201031,0.2326,785.95
8000,0.1,0.576044,0.199203,0.24,838.15
8500,0.1,0.549108,0.188281,0.23,891.78
9000,0.1,0.549095,0.188688,0.2426,946.04
9500,0.1,0.523917,0.179453,0.2232,1000.13
10000,0.1,0.517589,0.177672,0.1852,1049.77
10500,0.1,0.513872,0.175781,0.2282,1101.77
11000,0.1,0.497364,0.171594,0.2324,1152.6
11500,0.1,0.48478,0.164594,0.2152,1199.95
12000,0.1,0.4778,0.164906,0.2098,1249.88
12500,0.1,0.476558,0.163281,0.1806,1295.33
13000,0.1,0.466691,0.159031,0.1914,1338.71
13500,0.1,0.451199,0.154016,0.242,1381.28
14000,0.1,0.454857,0.15625,0.2274,1421.87
14500,0.1,0.447522,0.154625,0.2692,1462.71
15000,0.1,0.443374,0.152813,0.195,1503.63
15500,0.1,0.435008,0.148547,0.178,1544.27
16000,0.1,0.432093,0.147469,0.1832,1584.88
16500,0.1,0.423964,0.145531,0.2112,1626.74
17000,0.1,0.42231,0.146016,0.1668,1667.53
17500,0.1,0.419924,0.144328,0.181,1708.92
18000,0.1,0.409574,0.14175,0.1822,1750.1
18500,0.1,0.408489,0.140734,0.183,1791.74
19000,0.1,0.405499,0.138922,0.1706,1833.13
19500,0.1,0.399252,0.137891,0.173,1874.63
20000,0.1,0.401084,0.137391,0.2466,1915.89
20500,0.1,0.398243,0.135531,0.1808,1957.17
21000,0.1,0.396953,0.135109,0.2016,1998.26
21500,0.1,0.393379,0.134344,0.2098,2039.97
22000,0.1,0.390228,0.133891,0.1686,2081.56
22500,0.1,0.383132,0.131703,0.2228,2122.77
23000,0.1,0.382539,0.130625,0.2602,2164.87
23500,0.1,0.380348,0.131578,0.185,2206.03
24000,0.1,0.375832,0.129594,0.1732,2248.49
24500,0.1,0.379664,0.129656,0.1658,2289.73
25000,0.1,0.363615,0.1265,0.173,2331.1
25500,0.1,0.369591,0.126781,0.1954,2373.47
26000,0.1,0.369444,0.127031,0.1696,2415.03
26500,0.1,0.369614,0.126922,0.1848,2457.71
27000,0.1,0.363535,0.126344,0.1824,2499.6
27500,0.1,0.360448,0.124672,0.1826,2541.31
28000,0.1,0.363936,0.125859,0.1804,2594.48
28500,0.1,0.356934,0.124594,0.1968,2649.68
29000,0.1,0.353797,0.120344,0.1704,2701.62
29500,0.1,0.36223,0.122938,0.2006,2751.31
30000,0.1,0.354296,0.123078,0.1878,2800.46
30500,0.1,0.350997,0.120094,0.1774,2850.42
31000,0.1,0.351044,0.121078,0.1604,2897.01
31500,0.1,0.355593,0.123141,0.192,2933.5
32000,0.010000000000000002,0.344967,0.118734,0.1974,2969.93
32500,0.010000000000000002,0.218784,0.074766,0.1094,3006.59
33000,0.010000000000000002,0.172891,0.059516,0.11,3044.17
33500,0.010000000000000002,0.15871,0.054219,0.1042,3083.3
34000,0.010000000000000002,0.150618,0.052328,0.1044,3125.88
34500,0.010000000000000002,0.14159,0.049641,0.1092,3165.86
35000,0.010000000000000002,0.136477,0.047406,0.1054,3205.57
